Creation Time: 2021_1_23-18-4-7
18-4-7 | [INFO] TZManager - Started !
18-4-23 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
18-4-23 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-4-23 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
18-4-23 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
18-4-23 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
18-4-23 | [INFO] 1
18-4-23 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
18-4-23 | [INFO] AKM
18-4-23 | [INFO] PSO1Optic
18-4-23 | [INFO] AK_PlasticHndgrd
18-4-23 | [INFO] AK_RailHndgrd_Black
18-4-23 | [INFO] AmmoBox_545x39_20Rnd
18-4-23 | [INFO] AmmoBox_556x45_20Rnd
18-4-23 | [INFO] AmmoBox_762x54_20Rnd
18-4-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-4-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-4-24 | [INFO] 1
18-4-24 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1390.25 Y:464.569 Z:14428.6
18-4-24 | [INFO] AKM
18-4-24 | [INFO] Mag_AKM_Drum75Rnd
18-4-24 | [INFO] AK_PlasticHndgrd
18-4-24 | [INFO] AK_RailHndgrd_Black
18-4-24 | [INFO] ToxicCure
18-4-24 | [INFO] AmmoBox_545x39_20Rnd
18-4-24 | [INFO] AmmoBox_762x54_20Rnd
18-4-24 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-4-24 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-4-24 | [INFO] TZManager - Started !
18-4-24 | [INFO] TZToxicZone - Started !
18-50-4 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
18-50-4 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
